booking_id,passenger_name,flight_id,aircraft_id,departure_time,seat_number,booking_time,booking_status,ticket_price,baggage_fee,upgrades,channel,customer_segment,aircraft_type,currency,flight_day,recorded_at
ca4241d4-2d95-4c74-9c9b-4e81f56c559c,John Maddox,FL7258,AC5682,2025-06-10 12:30:00,25I,2025-05-20T06:43:00,confirmed,106.11,69.37,100,travel_agent,economy,Narrow-body,USD,2025-06-10,2025-07-08T16:29:01.148351
091396c9-e89c-43b0-88c7-c5085753d6ac,Katelyn Wood,FL7258,AC5682,2025-06-10 12:30:00,23j,2025-05-19T15:10:00,confirmed,111.85,84.59,100,app,economy,Narrow-body,USD,2025-06-10,2025-07-08T16:29:01.148549
a7ef080c-a78d-4be2-9aea-f319df1e15af,Joshua Macdonald,FL7258,AC5682,2025-06-10 12:30:00,27V,2025-05-20T02:17:00,confirmed,124.96,12.42,0,app,economy,Narrow-body,USD,2025-06-10,2025-07-08T16:29:01.148733
7e214eb8-505f-4d7d-8d2a-867465ff448f,Chase Douglas,FL7258,AC5682,2025-06-10 12:30:00,97h,2025-05-20T02:54:00,confirmed,115.68,88.55,50,travel_agent,economy,Narrow-body,USD,2025-06-10,2025-07-08T16:29:01.150244
98986de7-49d9-437a-a256-74e8e84cd5a6,Ronald Young,FL7258,AC5682,2025-06-10 12:30:00,30N,2025-05-19T20:43:00,confirmed,117.58,36.02,150,app,economy,Narrow-body,USD,2025-06-10,2025-07-08T16:29:01.150742
56ac8e6d-cfd2-49a3-a75d-9cf65b4951cd,Timothy Moore,FL7258,AC5682,2025-06-10 12:30:00,90i,2025-05-19T21:36:00,confirmed,219.04,65.64,100,website,business,Narrow-body,USD,2025-06-10,2025-07-08T16:29:01.150952
86859846-cd4d-4a7a-a858-b88689c56832,Heather Scott,FL7258,AC5682,2025-06-10 12:30:00,93l,2025-05-20T10:46:00,confirmed,146.49,56.88,0,website,economy,Narrow-body,USD,2025-06-10,2025-07-08T16:29:01.151278
80248f02-a91a-4503-b0bd-7d8be57c3db5,Scott Gonzalez,FL7258,AC5682,2025-06-10 12:30:00,73U,2025-05-20T01:43:00,checked_in,220.21,81.48,0,website,business,Narrow-body,USD,2025-06-10,2025-07-08T16:29:01.152766
8a284d22-695e-4792-920d-e84a367ba47d,Jennifer Ward,FL7258,AC5682,2025-06-10 12:30:00,21U,2025-05-20T11:23:00,checked_in,148.82,78.29,0,travel_agent,economy,Narrow-body,USD,2025-06-10,2025-07-08T16:29:01.156474
df7a8566-1fa1-43d7-a86f-bb947a203034,Richard Lane,FL7258,AC5682,2025-06-10 12:30:00,09p,2025-05-19T20:24:00,confirmed,137.9,56.16,150,website,premium_economy,Narrow-body,USD,2025-06-10,2025-07-08T16:29:01.159165
