booking_id,passenger_name,flight_id,aircraft_id,departure_time,seat_number,booking_time,booking_status,ticket_price,baggage_fee,upgrades,channel,customer_segment,aircraft_type,currency,flight_day,recorded_at
a4ec2111-eac6-4ca1-8579-4c902c1bb540,Kevin Hanson DDS,FL2785,AC7421,2025-07-07 08:00:00,48V,2025-07-01T16:04:00,checked_in,158.49,19.22,150,app,economy,Narrow-body,USD,2025-07-07,2025-07-08T16:29:03.793049
af7d7ba2-88af-4457-9dd6-d256a457cf48,Shelly Lamb,FL2785,AC7421,2025-07-07 08:00:00,93X,2025-07-02T04:54:00,confirmed,131.65,45.51,50,website,economy,Narrow-body,USD,2025-07-07,2025-07-08T16:29:03.793122
6c80ab39-d6cd-406d-a242-869ac01f5c17,Brian Thomas,FL2785,AC7421,2025-07-07 08:00:00,92L,2025-07-01T19:32:00,checked_in,189.35,19.75,100,app,economy,Narrow-body,USD,2025-07-07,2025-07-08T16:29:03.793194
1104aaa9-1452-43fc-972a-1be27450b918,Samantha Smith,FL2785,AC7421,2025-07-07 08:00:00,03D,2025-07-01T09:48:00,confirmed,135.29,40.66,150,travel_agent,economy,Narrow-body,USD,2025-07-07,2025-07-08T16:29:03.793267
1be3331d-7a50-418e-a91f-d1c79d442736,Andrew Morrison,FL2785,AC7421,2025-07-07 08:00:00,91K,2025-07-01T23:33:00,checked_in,196.74,98.59,150,travel_agent,premium_economy,Narrow-body,USD,2025-07-07,2025-07-08T16:29:03.793340
1111995d-f47c-49f0-b156-3c394fd426ea,Sharon Watson,FL2785,AC7421,2025-07-07 08:00:00,19d,2025-07-02T06:27:00,confirmed,183.27,32.28,100,app,economy,Narrow-body,USD,2025-07-07,2025-07-08T16:29:03.793412
15e3116e-8205-44e6-8e4a-4b80259fd6dc,Jennifer Martin,FL2785,AC7421,2025-07-07 08:00:00,32p,2025-07-01T09:05:00,confirmed,178.76,35.39,150,website,economy,Narrow-body,USD,2025-07-07,2025-07-08T16:29:03.793485
b1c9f2cb-ded3-4eeb-9578-1d4e24fe0c89,Zachary Turner,FL2785,AC7421,2025-07-07 08:00:00,11d,2025-07-02T00:45:00,confirmed,155.41,42.88,100,website,economy,Narrow-body,USD,2025-07-07,2025-07-08T16:29:03.793557
e80fa89c-963a-44a7-a855-8501f5222a2f,Nicholas Robertson,FL2785,AC7421,2025-07-07 08:00:00,61Z,2025-07-02T01:39:00,confirmed,155.18,79.91,100,app,economy,Narrow-body,USD,2025-07-07,2025-07-08T16:29:03.793628
d628802d-e4e4-4e1a-ad86-6aa66a0750ca,Taylor Peterson,FL2785,AC7421,2025-07-07 08:00:00,87G,2025-07-01T11:33:00,confirmed,147.52,49.53,150,website,economy,Narrow-body,USD,2025-07-07,2025-07-08T16:29:03.793702
