booking_id,passenger_name,flight_id,aircraft_id,departure_time,seat_number,booking_time,booking_status,ticket_price,baggage_fee,upgrades,channel,customer_segment,aircraft_type,currency,flight_day,recorded_at
852f1b49-f62b-4ba9-809e-45bdba4f9e02,Elizabeth Smith,FL1661,AC9894,2025-07-01 04:30:00,25o,2025-06-20T08:39:00,checked_in,316.52,11.25,50,app,premium_economy,Narrow-body,USD,2025-07-01,2025-07-08T16:29:03.167017
a83d0a89-dc76-4ab4-97b4-58c3a0a4cc11,Charles Baker,FL1661,AC9894,2025-07-01 04:30:00,34r,2025-06-20T14:52:00,cancelled,241.12,52.91,50,travel_agent,economy,Narrow-body,USD,2025-07-01,2025-07-08T16:29:03.167087
1d5bbd5d-a844-4d22-b885-dcd3b16492c5,Charles Chapman,FL1661,AC9894,2025-07-01 04:30:00,68G,2025-06-20T21:24:00,confirmed,264.23,63.12,0,website,economy,Narrow-body,USD,2025-07-01,2025-07-08T16:29:03.167157
85e38f8c-0dd0-4432-b9ce-0bc3090ad1ea,Chris Chavez,FL1661,AC9894,2025-07-01 04:30:00,46M,2025-06-20T07:16:00,checked_in,360.25,41.25,150,app,premium_economy,Narrow-body,USD,2025-07-01,2025-07-08T16:29:03.167226
3cb38daa-7c6c-4cdb-a8e0-3b1553f10f25,Eric Barker,FL1661,AC9894,2025-07-01 04:30:00,37V,2025-06-20T17:38:00,checked_in,294.05,62.35,50,travel_agent,premium_economy,Narrow-body,USD,2025-07-01,2025-07-08T16:29:03.167296
126d5842-5c0b-4067-9082-c2e1a00d8d2b,Susan Jones,FL1661,AC9894,2025-07-01 04:30:00,23C,2025-06-20T11:27:00,cancelled,278.39,31.05,0,website,economy,Narrow-body,USD,2025-07-01,2025-07-08T16:29:03.167366
e11b20aa-3cdc-40bc-8133-56fc9b2d407d,Michael Herrera,FL1661,AC9894,2025-07-01 04:30:00,85m,2025-06-21T02:16:00,cancelled,244.21,52.49,100,website,economy,Narrow-body,USD,2025-07-01,2025-07-08T16:29:03.167436
5845c392-f848-44fc-be90-91cf273b9ce5,James Richardson,FL1661,AC9894,2025-07-01 04:30:00,57B,2025-06-20T23:06:00,confirmed,229.68,63.13,0,app,economy,Narrow-body,USD,2025-07-01,2025-07-08T16:29:03.167505
1dae956d-890b-4149-94ae-4e83cf42d32e,Tamara Nunez,FL1661,AC9894,2025-07-01 04:30:00,12S,2025-06-20T21:24:00,confirmed,234.74,57.83,150,app,economy,Narrow-body,USD,2025-07-01,2025-07-08T16:29:03.167576
9eeeb1b6-7969-4f5d-983f-5f628c136984,Miss Wendy Sullivan,FL1661,AC9894,2025-07-01 04:30:00,86u,2025-06-20T18:30:00,checked_in,287.42,34.52,50,app,economy,Narrow-body,USD,2025-07-01,2025-07-08T16:29:03.167651
6c80d32c-dcf4-4ac0-a454-29bc9b83ee5c,Taylor Garcia,FL1661,AC9894,2025-07-01 04:30:00,70b,2025-06-20T19:37:00,confirmed,292.17,71.55,0,website,economy,Narrow-body,USD,2025-07-01,2025-07-08T16:29:03.167721
