flight_id,flight_day,hours_logged,duty_start,duty_end,hourly_rate_usd,crew_flagged,recorded_at,crew_id,name,role,base_location
FL9098,2025-07-06,18.88,2025-07-06 17:00:00,2025-07-07 11:53:00,586.28,False,2025-07-08T16:29:04.572089,CR1008,Gina Moore,Captain,ATL
FL9098,2025-07-06,18.88,2025-07-06 17:00:00,2025-07-07 11:53:00,331.46,False,2025-07-08T16:29:04.572213,CR2006,Margaret Hawkins DDS,First Officer,ORD
FL9098,2025-07-06,18.88,2025-07-06 17:00:00,2025-07-07 11:53:00,143.94,False,2025-07-08T16:29:04.572338,CR3028,Richard Aguirre,Flight Attendant,SFO
FL9098,2025-07-06,18.88,2025-07-06 17:00:00,2025-07-07 11:53:00,136.6,False,2025-07-08T16:29:04.572456,CR3011,Paula Moreno,Flight Attendant,LAX
FL9098,2025-07-06,18.88,2025-07-06 17:00:00,2025-07-07 11:53:00,126.02,False,2025-07-08T16:29:04.572572,CR3016,Philip Cannon,Flight Attendant,ATL
FL9098,2025-07-06,18.88,2025-07-06 17:00:00,2025-07-07 11:53:00,131.84,False,2025-07-08T16:29:04.572689,CR3010,Brittany Farmer,Flight Attendant,LAX
FL9098,2025-07-06,18.88,2025-07-06 17:00:00,2025-07-07 11:53:00,147.08,False,2025-07-08T16:29:04.572806,CR3020,Eric Carney,Flight Attendant,SEA
FL9098,2025-07-06,18.88,2025-07-06 17:00:00,2025-07-07 11:53:00,131.4,False,2025-07-08T16:29:04.572922,CR3019,Joshua Blair,Flight Attendant,LAX
FL9098,2025-07-06,18.88,2025-07-06 17:00:00,2025-07-07 11:53:00,128.1,False,2025-07-08T16:29:04.573038,CR3013,Sherry Decker,Flight Attendant,ORD
FL9098,2025-07-06,18.88,2025-07-06 17:00:00,2025-07-07 11:53:00,136.42,False,2025-07-08T16:29:04.573154,CR3003,Tricia Valencia,Flight Attendant,BOS
FL9098,2025-07-06,18.88,2025-07-06 17:00:00,2025-07-07 11:53:00,130.04,False,2025-07-08T16:29:04.573270,CR3017,John Pierce,Flight Attendant,ATL
FL2568,2025-07-06,4.5,2025-07-06 08:30:00,2025-07-06 13:00:00,372.697,False,2025-07-08T16:29:04.573424,CR1003,Angie Henderson,Captain,ORD
FL2568,2025-07-06,4.5,2025-07-06 08:30:00,2025-07-06 13:00:00,223.50900000000001,False,2025-07-08T16:29:04.573546,CR2014,Zachary Hicks,First Officer,SEA
FL2568,2025-07-06,4.5,2025-07-06 08:30:00,2025-07-06 13:00:00,85.69600000000001,False,2025-07-08T16:29:04.573670,CR3010,Brittany Farmer,Flight Attendant,LAX
FL2568,2025-07-06,4.5,2025-07-06 08:30:00,2025-07-06 13:00:00,78.624,False,2025-07-08T16:29:04.573786,CR3001,Rebecca Henderson,Flight Attendant,LAX
FL2568,2025-07-06,4.5,2025-07-06 08:30:00,2025-07-06 13:00:00,77.818,False,2025-07-08T16:29:04.573902,CR3022,Danny Morgan,Flight Attendant,BOS
FL2568,2025-07-06,4.5,2025-07-06 08:30:00,2025-07-06 13:00:00,87.03500000000001,False,2025-07-08T16:29:04.574017,CR3024,Mark Perez,Flight Attendant,BOS
FL2568,2025-07-06,4.5,2025-07-06 08:30:00,2025-07-06 13:00:00,83.92800000000001,False,2025-07-08T16:29:04.574133,CR3006,Jeffrey Chavez,Flight Attendant,JFK
FL2568,2025-07-06,4.5,2025-07-06 08:30:00,2025-07-06 13:00:00,88.79,False,2025-07-08T16:29:04.574248,CR3011,Paula Moreno,Flight Attendant,LAX
FL3089,2025-07-06,4.5,2025-07-06 12:30:00,2025-07-06 17:00:00,381.082,False,2025-07-08T16:29:04.574401,CR1008,Gina Moore,Captain,ATL
FL3089,2025-07-06,4.5,2025-07-06 12:30:00,2025-07-06 17:00:00,212.68,False,2025-07-08T16:29:04.574522,CR2007,Patty Perez,First Officer,SFO
FL3089,2025-07-06,4.5,2025-07-06 12:30:00,2025-07-06 17:00:00,85.69600000000001,False,2025-07-08T16:29:04.574645,CR3010,Brittany Farmer,Flight Attendant,LAX
FL3089,2025-07-06,4.5,2025-07-06 12:30:00,2025-07-06 17:00:00,92.24799999999999,False,2025-07-08T16:29:04.574759,CR3018,Shane Henderson,Flight Attendant,SFO
FL3089,2025-07-06,4.5,2025-07-06 12:30:00,2025-07-06 17:00:00,84.526,False,2025-07-08T16:29:04.574874,CR3017,John Pierce,Flight Attendant,ATL
FL3089,2025-07-06,4.5,2025-07-06 12:30:00,2025-07-06 17:00:00,83.265,False,2025-07-08T16:29:04.574990,CR3013,Sherry Decker,Flight Attendant,ORD
FL3089,2025-07-06,4.5,2025-07-06 12:30:00,2025-07-06 17:00:00,82.654,False,2025-07-08T16:29:04.575105,CR3004,Nathan Maldonado,Flight Attendant,ATL
FL4696,2025-07-06,4.03,2025-07-06 16:15:00,2025-07-06 20:17:00,371.46200000000005,False,2025-07-08T16:29:04.575260,CR1010,Ryan Munoz,Captain,JFK
FL4696,2025-07-06,4.03,2025-07-06 16:15:00,2025-07-06 20:17:00,215.44899999999998,False,2025-07-08T16:29:04.575383,CR2006,Margaret Hawkins DDS,First Officer,ORD
FL4696,2025-07-06,4.03,2025-07-06 16:15:00,2025-07-06 20:17:00,85.30600000000001,False,2025-07-08T16:29:04.575507,CR3014,Anthony Humphrey,Flight Attendant,SEA
FL4696,2025-07-06,4.03,2025-07-06 16:15:00,2025-07-06 20:17:00,88.673,False,2025-07-08T16:29:04.575624,CR3003,Tricia Valencia,Flight Attendant,BOS
FL4696,2025-07-06,4.03,2025-07-06 16:15:00,2025-07-06 20:17:00,77.818,False,2025-07-08T16:29:04.575740,CR3022,Danny Morgan,Flight Attendant,BOS
FL4696,2025-07-06,4.03,2025-07-06 16:15:00,2025-07-06 20:17:00,92.24799999999999,False,2025-07-08T16:29:04.575854,CR3018,Shane Henderson,Flight Attendant,SFO
FL4696,2025-07-06,4.03,2025-07-06 16:15:00,2025-07-06 20:17:00,87.00900000000001,False,2025-07-08T16:29:04.576013,CR3027,Timothy Duncan,Flight Attendant,ATL
FL6217,2025-07-06,18.88,2025-07-06 08:15:00,2025-07-07 03:08:00,592.36,False,2025-07-08T16:29:04.576229,CR1011,Monica Herrera,Captain,SFO
FL6217,2025-07-06,18.88,2025-07-06 08:15:00,2025-07-07 03:08:00,335.98,False,2025-07-08T16:29:04.576368,CR2011,Judy Baker,First Officer,ORD
FL6217,2025-07-06,18.88,2025-07-06 08:15:00,2025-07-07 03:08:00,141.92,False,2025-07-08T16:29:04.576507,CR3018,Shane Henderson,Flight Attendant,SFO
FL6217,2025-07-06,18.88,2025-07-06 08:15:00,2025-07-07 03:08:00,129.38,False,2025-07-08T16:29:04.576635,CR3008,Cassandra Gaines,Flight Attendant,JFK
FL6217,2025-07-06,18.88,2025-07-06 08:15:00,2025-07-07 03:08:00,131.84,False,2025-07-08T16:29:04.576762,CR3010,Brittany Farmer,Flight Attendant,LAX
FL6217,2025-07-06,18.88,2025-07-06 08:15:00,2025-07-07 03:08:00,136.6,False,2025-07-08T16:29:04.576888,CR3011,Paula Moreno,Flight Attendant,LAX
FL6217,2025-07-06,18.88,2025-07-06 08:15:00,2025-07-07 03:08:00,136.88,False,2025-07-08T16:29:04.577013,CR3012,Fred Smith,Flight Attendant,SFO
FL6217,2025-07-06,18.88,2025-07-06 08:15:00,2025-07-07 03:08:00,119.72,False,2025-07-08T16:29:04.577137,CR3022,Danny Morgan,Flight Attendant,BOS
FL6217,2025-07-06,18.88,2025-07-06 08:15:00,2025-07-07 03:08:00,136.42,False,2025-07-08T16:29:04.577261,CR3003,Tricia Valencia,Flight Attendant,BOS
FL6217,2025-07-06,18.88,2025-07-06 08:15:00,2025-07-07 03:08:00,131.4,False,2025-07-08T16:29:04.577386,CR3019,Joshua Blair,Flight Attendant,LAX
FL2103,2025-07-06,4.03,2025-07-06 05:15:00,2025-07-06 09:17:00,362.362,False,2025-07-08T16:29:04.577554,CR1012,Jamie Arnold,Captain,ATL
FL2103,2025-07-06,4.03,2025-07-06 05:15:00,2025-07-06 09:17:00,207.41500000000002,False,2025-07-08T16:29:04.577684,CR2010,Matthew Foster,First Officer,LAX
FL2103,2025-07-06,4.03,2025-07-06 05:15:00,2025-07-06 09:17:00,87.347,False,2025-07-08T16:29:04.577815,CR3021,Jessica Holmes,Flight Attendant,SFO
FL2103,2025-07-06,4.03,2025-07-06 05:15:00,2025-07-06 09:17:00,83.31700000000001,False,2025-07-08T16:29:04.577939,CR3026,Michael Lewis,Flight Attendant,JFK
FL2103,2025-07-06,4.03,2025-07-06 05:15:00,2025-07-06 09:17:00,84.526,False,2025-07-08T16:29:04.578064,CR3017,John Pierce,Flight Attendant,ATL
FL2103,2025-07-06,4.03,2025-07-06 05:15:00,2025-07-06 09:17:00,78.29899999999999,False,2025-07-08T16:29:04.578189,CR3005,Debra Davidson,Flight Attendant,SEA
FL2103,2025-07-06,4.03,2025-07-06 05:15:00,2025-07-06 09:17:00,85.30600000000001,False,2025-07-08T16:29:04.578313,CR3014,Anthony Humphrey,Flight Attendant,SEA
FL7373,2025-07-06,4.5,2025-07-06 16:15:00,2025-07-06 20:45:00,371.46200000000005,False,2025-07-08T16:29:04.578479,CR1010,Ryan Munoz,Captain,JFK
FL7373,2025-07-06,4.5,2025-07-06 16:15:00,2025-07-06 20:45:00,212.901,False,2025-07-08T16:29:04.578609,CR2001,Brian Ramirez,First Officer,LAX
FL7373,2025-07-06,4.5,2025-07-06 16:15:00,2025-07-06 20:45:00,88.79,False,2025-07-08T16:29:04.578741,CR3011,Paula Moreno,Flight Attendant,LAX
FL7373,2025-07-06,4.5,2025-07-06 16:15:00,2025-07-06 20:45:00,95.60200000000002,False,2025-07-08T16:29:04.578870,CR3020,Eric Carney,Flight Attendant,SEA
FL7373,2025-07-06,4.5,2025-07-06 16:15:00,2025-07-06 20:45:00,78.29899999999999,False,2025-07-08T16:29:04.578998,CR3005,Debra Davidson,Flight Attendant,SEA
