flight_id,flight_day,hours_logged,duty_start,duty_end,hourly_rate_usd,crew_flagged,recorded_at,crew_id,name,role,base_location
FL4549,2025-06-12,6.95,2025-06-12 20:00:00,2025-06-13 02:57:00,487.58400000000006,False,2025-07-08T16:29:04.339202,CR1006,Connie Lawrence,Captain,SEA
FL4549,2025-06-12,6.95,2025-06-12 20:00:00,2025-06-13 02:57:00,268.384,False,2025-07-08T16:29:04.339331,CR2008,Ethan Adams,First Officer,BOS
FL4549,2025-06-12,6.95,2025-06-12 20:00:00,2025-06-13 02:57:00,109.28,False,2025-07-08T16:29:04.339462,CR3011,Paula Moreno,Flight Attendant,LAX
FL4549,2025-06-12,6.95,2025-06-12 20:00:00,2025-06-13 02:57:00,107.12,False,2025-07-08T16:29:04.339585,CR3024,Mark Perez,Flight Attendant,BOS
FL4549,2025-06-12,6.95,2025-06-12 20:00:00,2025-06-13 02:57:00,96.368,False,2025-07-08T16:29:04.339708,CR3005,Debra Davidson,Flight Attendant,SEA
FL4549,2025-06-12,6.95,2025-06-12 20:00:00,2025-06-13 02:57:00,113.536,False,2025-07-08T16:29:04.339831,CR3018,Shane Henderson,Flight Attendant,SFO
FL4549,2025-06-12,6.95,2025-06-12 20:00:00,2025-06-13 02:57:00,103.504,False,2025-07-08T16:29:04.339953,CR3008,Cassandra Gaines,Flight Attendant,JFK
FL5212,2025-06-12,4.5,2025-06-12 08:45:00,2025-06-12 13:15:00,372.697,False,2025-07-08T16:29:04.340115,CR1003,Angie Henderson,Captain,ORD
FL5212,2025-06-12,4.5,2025-06-12 08:45:00,2025-06-12 13:15:00,208.66299999999998,False,2025-07-08T16:29:04.340244,CR2015,Anthony Rodriguez,First Officer,ATL
FL5212,2025-06-12,4.5,2025-06-12 08:45:00,2025-06-12 13:15:00,85.41000000000001,False,2025-07-08T16:29:04.340374,CR3019,Joshua Blair,Flight Attendant,LAX
FL5212,2025-06-12,4.5,2025-06-12 08:45:00,2025-06-12 13:15:00,86.242,False,2025-07-08T16:29:04.340496,CR3002,James Ferrell,Flight Attendant,ATL
FL5212,2025-06-12,4.5,2025-06-12 08:45:00,2025-06-12 13:15:00,84.526,False,2025-07-08T16:29:04.340619,CR3017,John Pierce,Flight Attendant,ATL
FL5212,2025-06-12,4.5,2025-06-12 08:45:00,2025-06-12 13:15:00,79.417,False,2025-07-08T16:29:04.340741,CR3009,Elizabeth Fowler,Flight Attendant,BOS
FL5212,2025-06-12,4.5,2025-06-12 08:45:00,2025-06-12 13:15:00,82.654,False,2025-07-08T16:29:04.340863,CR3004,Nathan Maldonado,Flight Attendant,ATL
FL5212,2025-06-12,4.5,2025-06-12 08:45:00,2025-06-12 13:15:00,85.30600000000001,False,2025-07-08T16:29:04.340985,CR3014,Anthony Humphrey,Flight Attendant,SEA
FL2713,2025-06-12,5.68,2025-06-12 07:00:00,2025-06-12 12:41:00,476.192,False,2025-07-08T16:29:04.341147,CR1015,Dylan Miller,Captain,SEA
FL2713,2025-06-12,5.68,2025-06-12 07:00:00,2025-06-12 12:41:00,275.088,False,2025-07-08T16:29:04.341277,CR2014,Zachary Hicks,First Officer,SEA
FL2713,2025-06-12,5.68,2025-06-12 07:00:00,2025-06-12 12:41:00,106.144,False,2025-07-08T16:29:04.341408,CR3002,James Ferrell,Flight Attendant,ATL
FL2713,2025-06-12,5.68,2025-06-12 07:00:00,2025-06-12 12:41:00,94.736,False,2025-07-08T16:29:04.341531,CR3023,Crystal Robinson,Flight Attendant,SFO
FL2713,2025-06-12,5.68,2025-06-12 07:00:00,2025-06-12 12:41:00,95.77600000000001,False,2025-07-08T16:29:04.341653,CR3022,Danny Morgan,Flight Attendant,BOS
FL2713,2025-06-12,5.68,2025-06-12 07:00:00,2025-06-12 12:41:00,117.66400000000002,False,2025-07-08T16:29:04.341776,CR3020,Eric Carney,Flight Attendant,SEA
FL2713,2025-06-12,5.68,2025-06-12 07:00:00,2025-06-12 12:41:00,109.28,False,2025-07-08T16:29:04.341899,CR3011,Paula Moreno,Flight Attendant,LAX
FL2713,2025-06-12,5.68,2025-06-12 07:00:00,2025-06-12 12:41:00,105.12,False,2025-07-08T16:29:04.342022,CR3019,Joshua Blair,Flight Attendant,LAX
FL9825,2025-06-12,6.95,2025-06-12 14:45:00,2025-06-12 21:42:00,457.184,False,2025-07-08T16:29:04.342182,CR1010,Ryan Munoz,Captain,JFK
